Item Name,MFR Name,Selling,M.R.P,Total Stock
AACHI IDLY CHILLI POWDER 200G,MFR,65,82,0
AACHI IDLY CHILLI POWDER 50G,MFR,16,18,17
AACHI JALJEERA 50G,MFR,25,26,1
AACHI KASHMIRI CHILLI POWDER 100G,MFR,105,110,21
AACHI KASHMIRI CHILLI POWDER 50G,MFR,55,60,12
AACHI KASTHURI METHI 50G,MFR,43,46,4
AACHI KITCHEN KING MASALA 50G,MFR,27,30,2
AACHI KOZHUKATTAI FLOUR 500G,MFR,44,46,15
AACHI KULAMBU CHILLI MASALA 100G,MFR,38,40,22
AACHI KULAMBU CHILLI MASALA 1KG,MFR,300,380,0
AACHI KULAMBU CHILLI MASALA 200G,MFR,70,79,19
AACHI KULAMBU CHILLI MASALA 500G,MFR,180,198,5
AACHI KULAMBU CHILLY MASALA 50G,MFR,19,20,29
AACHI LEMON RICE PASTE 200GM (1+1),MFR,103,105,4
AACHI LEMON RICE POWDER 50G,MFR,16,18,13
AACHI LIME PICKLE 100G,MFR,19.5,20,0
AACHI LIME PICKLE 200GM(1+1),MFR,83,85,10
AACHI LIME PICKLE 300GM,MFR,95,99,5
AACHI LIME PICKLE 500G,MFR,87,90,2
AACHI LIME PICKLE 60G,MFR,9.8,10,27
AACHI MADRAS SAMBAR POWDER 100G,MFR,42,47,0
AACHI MADRAS SAMBAR POWDER 50G,MFR,23,25,14
AACHI MANGO AVAKKAI PICKLE 100G,MFR,19,20,1
AACHI MANGO AVAKKAI PICKLE 300G,MFR,69,70,1
AACHI MANGO AVAKKAI PICKLE 60G,MFR,9.8,10,30
AACHI MANGO GINGER PICKLE 200GM(1+1),MFR,82,85,0
AACHI MANGO THOKKU 100G,MFR,19,20,0
AACHI MANGO THOKKU 500GM,MFR,85,90,0
AACHI MANGO THOKKU PICKLE 200GM(1+1),MFR,85,89,5
AACHI MANGO THOKKU PICKLE 60G,MFR,9.8,10,11
AACHI MIXED FRUIT JAM 100G,MFR,24,25,7
AACHI MIXED FRUIT JAM 200G,MFR,95,99,4
AACHI MIXED FRUIT JAM 450G,MFR,185,190,3
AACHI MIXED VEGETABLE PICKLE 10/-,MFR,9.8,10,1
AACHI MIXED VEGETABLE PICKLE 200GM(1+1),MFR,75.25,80,31
AACHI MURRUKKU MIX 200G,MFR,42,45,3
AACHI MURRUKKU MIX 500G,MFR,68,70,0
AACHI MURUKKU FLOUR 500G,MFR,63,65,0
AACHI MUSHROOM MASALA 50G,MFR,28.5,30,0
AACHI MUTTON MASALA 100G,MFR,50,58,0
